ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
130331;[DesconexiÛn SGC] [Salesforce Service] - GestiÛn de casos: modificaciones tipos de servicio;ATC;eCommerce;Corporate;Backlog;24;;;;
130468;Cierre diario de recogidas;ATC;eCommerce;Corporate;Backlog;25;;;;
134184;[SLA/Commitmment Date] - ParametrizaciÛn Cliente ASOS basada en la Agencia de Origen;ATC;eCommerce;Corporate;High Level Design;26;;;;
129654;ConexiÛn de eventos estados PT-ES/TransiciÛn de estados con eventos PT;ATC;eCommerce;Corporate;Backlog;27;;;;
93166;"IntegraÁ„o Automaise - Novo Voice Bot - Substituir as atuais ""primas""";AVC;Mail;Corporate;Backlog;1;;;;
60599;Nexus | We Care | Customer Support;AVC;eCommerce;Corporate;Backlog;2;;;;
77999;Nexus | We Care | SalesForce Parameterization | Pilot;AVC;eCommerce;Corporate;Backlog;3;;;;
78003;Nexus | We Care | Adaptation of Service Infrastructures | Pilot;AVC;eCommerce;Corporate;Backlog;4;;;;
78001;Nexus | We Care | SalesForce Parametrization | Post MVP;AVC;eCommerce;Corporate;Backlog;5;;;;
78005;Nexus | We Care | Adaptation of Service Infrastructures | MVP;AVC;eCommerce;Corporate;Backlog;6;;;;
39126;Novas funcionalidades no PA- AVC;AVC;Mail;Corporate;Backlog;7;;;;
203901;Power Bi | CRM - Acesso a InformaÁ„o do CRM atravÈs do PowerBi;AVC;Mail;Corporate;In Definition;8;;;;
51911;MPC | IntegraÁ„o Sprinklr no CRM | Melhorar IntegraÁ„o de mensagens;AVC;Mail;Corporate;In Definition;9;;;;
50544;AvaliaÁ„o de Novo Software de Contact Center;AVC;Mail;Corporate;Backlog;10;;;;
47391;CRM | SPRINKLR - Ir· existir uma alteraÁ„o ao nivel das APIs da Sprinklr pelo que dever„o ser necess·rios ajustes ‡ integraÁ„o com o CRM;AVC;Mail;Corporate;Backlog;11;;;;
134587;BCTT - RelatÛrio Sendgrid;BCTT;Mail;Technology;In Definition;1;3;;2;1
71073;Lojas com necessidade de 2 m·quinas dispensadoras de senhas;BCTT;Mail;Technology;Backlog;2;;;;
193041;BancoCTT - ReduÁ„o hor·rio Tesouraria | AutomatizaÁ„o do hor·rio da senha D;BCTT;Mail;Technology;Backlog;3;;;;
181624;Banco CTT - AlteraÁ„o Processo FaturaÁ„o;BCTT;Mail;Technology;Backlog;4;;;;
67870;BCTT - disponibilizaÁ„o de logs via SFTP;BCTT;Mail;Technology;Backlog;5;;;;
192027;ComunicaÁıes - Wifi 321 CrÈdito - Porto;BCTT;Mail;Technology;Backlog;6;;;;
58133;BCTT - extens„o do contrato de multifunÁıes a 321 credito;BCTT;Mail;Technology;In Definition;7;;;;
175823;Report automatizado para CrÈdito Pessoal;BCTT;Mail;Technology;Backlog;8;;;;
96860;BANCO CTT | Novo design site banco;BCTT;Mail;Technology;Backlog;9;;;;
68595;Implementar validaÁ„o de configuraÁ„o segura de endpoint na soluÁ„o de teletrabalho da 321 CrÈdito;BCTT;Mail;Technology;High Level Design;10;5;2;2;2
177123;ObsolescÍncia WAVE 0 - Converter LDAP em LDAPS (BCTT);BCTT;Mail;Technology;Backlog;11;;;;
172578;Banco CTT - Gest„o de Acessos em SAP4Hana;BCTT;Mail;Technology;Backlog;12;;;;
70015;BCTT - renovaÁ„o de equipamentos lojas especializadas;BCTT;Mail;Technology;Backlog;13;;;;
171544;BCTT SincronizaÁ„o Robin & O365;BCTT;Mail;Technology;Backlog;14;;;;
130577;[Salesforce Sales] - Multi oportunidad en Cuentas;CCO;eCommerce;Commercial;High Level Design;1;;;;
132534;[Qlik] - GestiÛn de oportunidades - Hito semanal por comercial disponible;CCO;eCommerce;Commercial;Backlog;2;;;;
130900;[SGC] - LÛgica de aplicaciÛn de perfil tarifario a nuevos centros en SGC;CCO;eCommerce;Commercial;Backlog;3;;;;
132533;[Minerva] - Carga de nuevo modelo tarifario PT Continente 2026;CCO;eCommerce;Commercial;Ready for Solution;4;;;;
130767;[IntegraciÛn de Clientes] Tik Tok - Bloqueo del dato publicado de peso y medidas despuÈs del estado definitivo.;CCO;eCommerce;Commercial;In Definition;5;;;;
130506;[Nexus] - We Sell (Lead to Contract) - Signaturit en portuguÈs;CCO;eCommerce;Commercial;High Level Design;6;;;;
130372;[We Sell] Mantenimiento de nuevos clientes de PT en Salesforce Sales;CCO;eCommerce;Commercial;High Level Design;7;;;;
132537;[Qlik] - CreaciÛn de un nuevo filtro TYPE.REP.HIST”RICAL;CCO;eCommerce;Commercial;Backlog;8;;;;
130626;[Nexus] - We Sell (Lead to Contract) 2.0;CCO;eCommerce;Commercial;Backlog;9;;;;
130449;[Minerva] - Interfaz de generaciÛn de ofertas de Minerva en portuguÈs;CCO;eCommerce;Commercial;High Level Design;10;;;;
130830;[Salesforce - Minerva] Datos de la oferta Minerva en objeto Oferta;CCO;eCommerce;Commercial;Backlog;11;;;;
129868;[Qlik] - Incluir ECCS en AnalÌtica Comercial;CCO;eCommerce;Commercial;In Definition;12;;;;
130374;[Nexus] [We Sell] GestiÛn de envÌos no entregados (devoluciones) del flujo PT->PT;CCO;eCommerce;Commercial;High Level Design;13;;;;
130783;[Salesforce Sales] - Cambio del flujo de aprobaciÛn de ofertas seg˙n usuario;CCO;eCommerce;Commercial;In Solution;14;;;;
129509;Qlik - AnalÌtica Comercial - Clientes Activos;CCO;eCommerce;Commercial;In Definition;15;;;;
129490;[Minerva] - Permitir a ciertos perfiles Comerciales descargar los contratos en Word;CCO;eCommerce;Commercial;High Level Design;16;;;;
129505;Qlik - Estado de Venta;CCO;eCommerce;Commercial;In Definition;17;;;;
130775;[Salesforce Maps] - Nuevas funcionalidades (Fase 3);CCO;eCommerce;Commercial;Backlog;18;;;;
129729;[Minerva] - Servicios adicionales gestionables por el equipo Comercial en la creaciÛn de una oferta;CCO;eCommerce;Commercial;In Solution;19;;;;
130804;[Salesforce Sales - SGC ] - Evitar actualizaciones en SGC en los registros de franquicias;CCO;eCommerce;Commercial;Backlog;20;;;;
129752;Qlik - AnalÌtica Comercial: DimensiÛn Grupo de Empresas;CCO;eCommerce;Commercial;In Definition;21;;;;
129867;[Minerva] - ImpresiÛn del contrato en funciÛn de la etapa de la opp;CCO;eCommerce;Commercial;High Level Design;22;;;;
130826;[Salesforce] - InformaciÛn de la actividad del cliente en Cuenta en Sales (a partir de Qlik);CCO;eCommerce;Commercial;In Definition;23;;;;
130301;[Qlik] - Nuevos KPIS en AnalÌtica Comercial;CCO;eCommerce;Commercial;Backlog;24;;;;
130001;[Minerva] - Campos requeridos en contrato con firma digital por Signaturit;CCO;eCommerce;Commercial;In Definition;25;;;;
130368;[Salesforce Sales] - Contemplar los puntos de servicio a nivel master;CCO;eCommerce;Commercial;In Solution;26;;;;
130407;[Qlik] - Evaluador de ofertas en Qlik;CCO;eCommerce;Commercial;Backlog;27;;;;
129533;[Minerva] - Dispersiones est·ndar de ofertas de tipo B y C;CCO;eCommerce;Commercial;High Level Design;28;;;;
130266;[Salesforce Sales] - Campo Centro Operativo de clientes que cuelgan de Agencias Virtuales (Amazon, ICP, Inditex....);CCO;eCommerce;Commercial;In Solution;29;;;;
130409;[Minerva] - EvaluaciÛn de la oferta en Minerva;CCO;eCommerce;Commercial;Backlog;30;;;;
129547;[Salesforce Sales] - Disponer de un botÛn que permita sincronizar toda una cuenta (cliente, contactos y direcciones);CCO;eCommerce;Commercial;High Level Design;31;;;;
129494;[Salesforce] - AutomatizaciÛn de tarifas (en funciÛn de envÌos comprometidos y rentabilidad de la cuenta);CCO;eCommerce;Commercial;Backlog;32;;;;
129836;[Salesforce] - Automatismo de asignaciÛn de casos a gestora de ingresos;CCO;eCommerce;Commercial;Backlog;33;;;;
130289;[Salesforce] - Datos de comisionista en Cuenta en el CRM;CCO;eCommerce;Commercial;Backlog;34;;;;
130275;[Salesforce Sales] - Completar campo Estado / provincia;CCO;eCommerce;Commercial;Backlog;35;;;;
129545;[Salesforce] - Cancelar ofertas no firmadas cuando se cancele una oportunidad;CCO;eCommerce;Commercial;Backlog;36;;;;
129544;[Salesforce Sales] - Modificar el CIF de un centro relacionado cuando se modifique un Prospecto;CCO;eCommerce;Commercial;In Definition;37;;;;
129542;[Salesforce Sales] - Control de avance de una oportunidad en funciÛn de las fechas de los hitos necesarias;CCO;eCommerce;Commercial;In Definition;38;;;;
129546;[Salesforce Sales] - NotificaciÛn al usuario cuando el campo IBAN de Reembolsos sea cumplimentado;CCO;eCommerce;Commercial;In Definition;39;;;;
131120;[SGC] - Cargar perfil tarifario en clientes con perfiles vacÌos;CCO;eCommerce;Commercial;Backlog;40;;;;
134447;[Minerva] - ActualizaciÛn del dÌa de pago en la oferta cuando el comercial lo modifique en una Opp. de Salesforce;CCO;eCommerce;Commercial;High Level Design;41;;;;
136973;[Salesforce Sales] - IncorporaciÛn de nuevos Subsegmentos SME;CCO;eCommerce;Commercial;Backlog;42;;;;
136913;[Qlik] - App Control de Efectivos (incorporaciÛn de Kpis);CCO;eCommerce;Commercial;Backlog;43;;;;
135029;[Salesforce Sales] - Brokers y MBE: Permitir generaciÛn de usuarios web;CCO;eCommerce;Commercial;Backlog;44;;;;
131087;[WE SELL] - Carga de nuevo modelo tarifario PT Continental 2026;CCO;eCommerce;Commercial;Ready for Solution;45;;;;
130484;[Nexus] - We Sell (Lead to Contract) - Modelos tarifarios en funciÛn de Zona Comercial;CCO;eCommerce;Commercial;High Level Design;46;;;;
130278;[Salesforce Sales] - Notificaciones del Plan de AcompaÒamiento autom·ticas;CCO;eCommerce;Commercial;Backlog;47;;;;
129662;Nueva estrategia de integraciÛn de Clientes (TC);CCO;eCommerce;Commercial;Backlog;48;;;;
129653;RevisiÛn feedback a Clientes conectados a SGC (legacy);CCO;eCommerce;Commercial;Backlog;49;;;;
129562;[Auditoria PT] [Salesforce Sales] - (Des)ActivaciÛn de clientes centros y usuarios por cese o impagos;CCO;eCommerce;Commercial;In Definition;50;;;;
129560;[Salesforce] - GestiÛn de casos asignados al ·rea comercial;CCO;eCommerce;Commercial;Backlog;51;;;;
129557;"[Salesforce Sales] - Nuevo Campo Cuenta tipo Cliente y centro: ""GestiÛn por""";CCO;eCommerce;Commercial;In Definition;52;;;;
129556;[Salesforce Sales] - No mostrar campo 'Motivo de baja' cuando el estado de una cuenta pase a 'Activo';CCO;eCommerce;Commercial;In Definition;53;;;;
126644;GENAI- Rossum;CF;Mail;Corporate;Backlog;1;;;;
126641;GENAI-NBanks;CF;Mail;Corporate;Backlog;2;;;;
126645;GENAI-TOF;CF;Mail;Corporate;Backlog;3;;;;
88638;Novo modelo de integraÁ„o SAP SF com Paynest;CF;Mail;Corporate;Backlog;4;;;;
88857;CORP - Covline - IntegraÁ„o de clientes e contratos via kafka;CF;Mail;Corporate;Backlog;5;;;;
50788;CESOP - Reporte RegulatÛrio AT;CF;Mail;Corporate;Backlog;6;;;;
126643;Faturas PDF | SuperApp - FaturaÁ„o Portagens;CF;Mail;Corporate;Backlog;7;3;3;4;1
59177;Faturas PDF | SAP - Incremento 2;CF;Mail;Corporate;Backlog;8;;;;
124133;Incremento ao processo de pagamento de faturas a fornecedores;CF;Mail;Corporate;Backlog;9;;;;
125766;Evolutivas SAP FI Q1 2026;CF;Mail;Corporate;Backlog;10;1;1;1;1
71501;Nova Entidade Certificadora (CA) Autoridade Tribut·ria e Aduaneira (AT).;CF;Mail;Corporate;In Definition;11;;;;
69337;Confirming 2.0;CF;Mail;Corporate;Backlog;12;;;;
69341;OtimizaÁ„o CRB;CF;Mail;Corporate;Backlog;13;;;;
129984;ReconciliaciÛn bancaria de Cobros por tarjeta y Bizum;CFO;eCommerce;Corporate;High Level Design;1;;;;
131055;Nueva Herramienta de VerificaciÛn de Pagos TEMU (App);CFO;eCommerce;Corporate;In Solution;2;;;;
129453;[SAP] - Vincular Docuware a SAP;CFO;eCommerce;Corporate;Backlog;3;;;;
134702;P&L IbÈrica e informaciÛn de gestiÛn;CFO;eCommerce;Corporate;In Solution;4;;;;
130981;ECCS por peso Informado;CFO;eCommerce;Corporate;Backlog;5;;;;
129470;[Evolutivos SGC Finanzas] ValidaciÛn de paÌs y CP en manifiestos;CFO;eCommerce;Corporate;High Level Design;6;;;;
130044;Perdida de funcionalidad ModificaciÛn ArtÌculos;CFO;eCommerce;Corporate;Backlog;7;;;;
129465;[Evolutivos SGC Finanzas] RevisiÛn de las lÛgicas de generaciÛn de facturas en 2∫ plano;CFO;eCommerce;Corporate;High Level Design;8;;;;
129463;[Evolutivos SGC] Visibilidad de cargos manuales histÛricos facturados (mejora);CFO;eCommerce;Corporate;High Level Design;9;;;;
129484;[SGC] - Funcionalidad de asignaciÛn de gestora en Salesforce;CFO;eCommerce;Corporate;High Level Design;10;;;;
130910;[Nexus Piloto Operacional] [We Bill] Mantenimiento de la facturaciÛn actual en cada paÌs en la Fase 2 del Piloto Operacional;CFO;eCommerce;Corporate;High Level Design;11;;;;
129451;[DesconexiÛn SGC] [Evolutivos SGC Finanzas] AutomatizaciÛn proceso gestiÛn documental siniestros;CFO;eCommerce;Corporate;Backlog;12;;;;
129479;[Evolutivos SGC Finanzas] Asignar de manera masiva el cliente master al campo grupo de procesamiento en Modulo de facturacion;CFO;eCommerce;Corporate;High Level Design;13;;;;
129553;"[SGC] - Funcionalidad de ComisiÛn Reembolso sobre ""entregados"" activa";CFO;eCommerce;Corporate;High Level Design;14;;;;
129469;"[Evolutivos SGC Finanzas]  Funcionalidad ""Redireccionar servicios"" en Valoracion de servicios funciona parcialmente";CFO;eCommerce;Corporate;Backlog;15;;;;
129485;[Evolutivos SGC Finanzas] Evolutivos SGC Finanzas - Adeudos ECCS a SGC+ automatizados y diarios;CFO;eCommerce;Corporate;Backlog;16;;;;
129795;Fichero interfase IGIC SGC-SAP;CFO;eCommerce;Corporate;In Solution;17;;;;
129477;[Evolutivos SGC Finanzas] Generacion de documentos por master + grupo procesamiento (filtro);CFO;eCommerce;Corporate;Backlog;18;;;;
129459;"[Evolutivos SGC Finanzas] Posibilidad de filtrar en Valoracion de servicios por Microservicio de TasaciÛn ""Proceso SINO""";CFO;eCommerce;Corporate;Backlog;19;;;;
129518;[Evolutivos Minerva] Zonificacion PT detallada (combinaciones PTC-PTI/PTI-PTI) (Valorar por MKT);CFO;eCommerce;Corporate;Backlog;20;;;;
129481;[Evolutivos Minerva] Tarifas unicas por grupos de varios clientes (multicuentas asociadas incluso en diferentes CO's) (Validar por Herramientas Comerciales);CFO;eCommerce;Corporate;Backlog;21;;;;
129483;Web Clientes? - Detalles Excel con y sin Densidades (EspaÒol-Ingles), Personalizables por el propio cliente en PortalCliente y en Finanzas;CFO;eCommerce;Corporate;Backlog;22;;;;
130367;[Nexus Rollout] [We Bill] Estrategia de facturaciÛn de clientes ES y PT;CFO;eCommerce;Corporate;Backlog;23;;;;
129444;[Alarmas Financieras] Alarma-41 Informe de n∫ envÌos-discrepancias tr·fico-facturaciÛn (se esta trabajando internamente tambiÈn);CFO;eCommerce;Corporate;Backlog;24;;;;
129455;[NEXUS] [Auditoria PT] [SAP] - Mejora y/o renovaciÛn del Interface Salesforce + SGC + SAP;CFO;eCommerce;Corporate;In Solution;25;;;;
130483;[PUDOS]-ModificaciÛn plantilla de factura en VDP relacionado con 58594;CFO;eCommerce;Corporate;Backlog;26;;;;
130320;Nueva funcionalidad SGC: Nuevas opciones de cambios masivos;CFO;eCommerce;Corporate;Backlog;27;;;;
129445;"[Alarmas Financieras] Alarma-46 Reporte/Alerta de Datos Clientes antes del cierre ""Keysoft"" (datos incompletos de clientes o deficiencia)";CFO;eCommerce;Corporate;Backlog;28;;;;
130111;Cambio en la LÛgica de generaciÛn de OBX en Cainiao;CFO;eCommerce;Corporate;Backlog;29;;;;
130143;[QLIK] IncorporaciÛn de datos adicionales en BI (Income Tracking App);CFO;eCommerce;Corporate;Backlog;30;;;;
129475;[Evolutivos SGC Finanzas]  Alarma-86 EngaÒo Cod. Postales (solicitado tambien a traves de BI para buscar automatizaciÛn);CFO;eCommerce;Corporate;Backlog;31;;;;
129472;[Evolutivos SGC Finanzas] InclusiÛn del Cliente M·ster en todos los mÛdulos de SGC ahora no lo est·n (esta ligado con el anterior);CFO;eCommerce;Corporate;Backlog;32;;;;
129456;[Alarmas Financieras] Alarma-78 Garantizar la igualaciÛn de datos de clientes en tres herramientas. (SGC-Salesforce-SAP);CFO;eCommerce;Corporate;Backlog;33;;;;
129442;"[Alarmas Finanzas] Alarma-85 Clientes con cambio tarifas ""a medio mes"", si no avisan facturamos mal si hay retroactividad";CFO;eCommerce;Corporate;Backlog;34;;;;
129452;[Evolutivos Salesforce] Alarma-77 Clientes reactivados (clientes que se dan de alta sin control);CFO;eCommerce;Corporate;Backlog;35;;;;
129529;[Evolutivos SGC Finanzas]  HistorificaciÛn datos de facturaciÛn perdidos tras ataque inform·tico (PENDIENTE SOLUCI”N DE IT YA PRESENTADA);CFO;eCommerce;Corporate;Backlog;36;;;;
129450;Portal Proveedores - Facturacion a/de proveedores fuera de SAP, necesidad de adaptar el modulo de proveedores;CFO;eCommerce;Corporate;Backlog;37;;;;
129476;[Evolutivos SGC] Adeudos manuales o autom·ticos, (relacionado con trabajo de auditoria interna de ES ya informada en 2022) (Validar por Procesos);CFO;eCommerce;Corporate;Backlog;38;;;;
129474;[Evolutivos SGC] Cambio de agencia de cargo en un envÌo / Utilizacion de agencia de facturacion, (pÈrdida de funcionalidad);CFO;eCommerce;Corporate;Backlog;39;;;;
129478;[Evolutivos SGC]  Recuperar Doble click en grid inferior valoracion de servicios, no abre las tablas como antes para editar y cambios, (pÈrdida esta funcionalidad importante);CFO;eCommerce;Corporate;Backlog;40;;;;
129473;"[Evolutivos SGC] Recuperar Acceso a modificacion de tarifas y configuracion del ""Microservicio"" (pÈrdida de funcionalidad importante)";CFO;eCommerce;Corporate;Backlog;41;;;;
129803;Web Clientes? - Automatizacion para Generacion y envio automatico de informes, Portal cliente;CFO;eCommerce;Corporate;Backlog;42;;;;
129471;[Evolutivos SGC]  AplicaciÛn de la densidad cuando el CP no existe, confirmar IT si todo el proceso esta acabado (Incidencia);CFO;eCommerce;Corporate;Backlog;43;;;;
129443;"[Alarmas Finanzas] Alarma-45 Reporte/Alerta de servicios antes del cierre ""Keysoft""";CFO;eCommerce;Corporate;Backlog;44;;;;
129468;[Evolutivos SGC] Acceso a tabla de retasados (NO las muestra si hay varias por validez en gestion de tablas) + Acceso Retasados microservicios (revisar Juancho);CFO;eCommerce;Corporate;Backlog;45;;;;
129446;[Alarmas Finanzas] Alarma-75 Comprobar envÌos en agencias desactivadas;CFO;eCommerce;Corporate;Backlog;46;;;;
129447;[Alarmas Finanzas] Alarma-56 EnvÌos abonados m·s de una vez;CFO;eCommerce;Corporate;Backlog;47;;;;
129448;[Alarmas Finanzas] Alarma-55 EnvÌos pendientes de valorizar o sin facturar del mes anterior;CFO;eCommerce;Corporate;Backlog;48;;;;
129482;[Compras] ImplantaciÛn e-Compras - Nueva Web venta material clientes (proyecto de finanzas 2023);CFO;eCommerce;Corporate;Backlog;49;;;;
129467;[Evolutivos SGC] Cambio de cÛdigo de Cliente al rectificar un servicio, confirmar IT si todo el proceso esta acabado (Incidencia);CFO;eCommerce;Corporate;Backlog;50;;;;
129480;[Evolutivos Salesforce]  Asignacion de tarifas por cliente master - Salesforce/Minerva (posibilidad de clientes centro con tarifas diferentes) (Validar por Herramientas Comerciales);CFO;eCommerce;Corporate;Backlog;51;;;;
129466;[Evolutivos SGC] Aplicar correctamente los impuestos en funciÛn de la combinaciÛn artÌculo-zona, Solicitud de 2015 potenciales problemas fiscales;CFO;eCommerce;Corporate;Backlog;52;;;;
129464;[Evolutivos SGC] Recuperar el Numero de factura emitida en grid de valoracion de servicios, (perdida de funcionalidad);CFO;eCommerce;Corporate;Backlog;53;;;;
129462;[Alarmas Finanzas] Servicios pendientes de meses anteriores que pasen al mes siguiente a modulo de facturaciÛn una vez cerrado el mes (PENDIENTE DE SOLUCI”N DE IT YA PRESENTADA);CFO;eCommerce;Corporate;Backlog;54;;;;
129461;[Evolutivo SGC] Adeudos RE2 y RE11 cargados el ˙ltimo dÌa del mes pasadas las 17:00 horas (Pasar a Operaciones);CFO;eCommerce;Corporate;Backlog;55;;;;
129460;[Evolutivo SGC] Desarrollar un sistema de refacturaciÛn a los brokers para que autom·ticamente podamos refacturarles los costes de recogida cuando se apliquen a brokers sin coste de recogida;CFO;eCommerce;Corporate;Backlog;56;;;;
129454;[SAP] Recargo de equivalencia (mÛdulo +) Esta evolucion debe ser en SGC y en el interface de SAP no viaja;CFO;eCommerce;Corporate;Backlog;57;;;;
129458;[Evolutivos SGC] Nueva funcionalidad para Clientes que no etiquetan (recargo por mercancia no/mal etiquetada) (pendiente al ser antiguo revisar con LR);CFO;eCommerce;Corporate;Backlog;58;;;;
129486;[SAP] MigraciÛn SAP;CFO;eCommerce;Corporate;Backlog;59;;;;
130069;[Auditoria PT] Control periÛdico de Clientes Inactivos;CFO;eCommerce;Corporate;Backlog;60;;;;
130306;Crear LOG  reglas de pago clientes SGC;CFO;eCommerce;Corporate;Backlog;61;;;;
130071;[Auditoria PT] Consulta del historial de los datos de los objetos que han sido alterados manualmente o corregidos por la automatizaciÛn;CFO;eCommerce;Corporate;Backlog;62;;;;
130072;[Auditoria PT] Control de revisiones de alteraciones manuales;CFO;eCommerce;Corporate;Backlog;63;;;;
130073;[Auditoria PT] Evaluar la implementaciÛn de una reclasificaciÛn autom·tica de los servicios declarados incorrectamente por el cliente;CFO;eCommerce;Corporate;Backlog;64;;;;
130074;[Auditoria PT]  Seguimiento de los cambios realizados manualmente o mediante automatizaciÛn y control/aprobaciÛn de los mismos;CFO;eCommerce;Corporate;Backlog;65;;;;
130653;SGC - AnulaciÛn eventos PT;CFO;eCommerce;Corporate;Backlog;66;;;;
130742;EvoluciÛn verificaciÛn periodos + (pesos y medidas) V2;CFO;eCommerce;Corporate;Backlog;67;;;;
131143;Plantilla modificacion de clientes sap hanna;CFO;eCommerce;Corporate;Backlog;68;;;;
130858;Query direcciones de recogida portal del proveedor;CFO;eCommerce;Corporate;In Definition;69;;;;
130336;Informes Personalizados Finanzas en SharePoint;CFO;eCommerce;Corporate;High Level Design;70;;;;
129592;AplicaciÛn de reglas en registros de peso y volumen (TC);CFO;eCommerce;Corporate;In Definition;71;;;;
130989;DesconexiÛn de SGC - DefiniciÛn del RoadMap;CIO;eCommerce;Technology;Backlog;1;;;;
129493;[Tech] IntegraciÛn eventos desde CTT PT? [Nexus Fase 2];CIO;eCommerce;Technology;High Level Design;2;;;;
130990;Stack Observabilidad IbÈrico;CIO;eCommerce;Technology;Backlog;3;;;;
130991;Crear entornos no productivos;CIO;eCommerce;Technology;Backlog;4;;;;
130663;API Clientes - Authorization;CIO;eCommerce;Technology;Backlog;5;;;;
130598;[Web P˙blica] [CIBERSEGURIDAD] - MigraciÛn de infraestructura de MiddleWare de PhP;CIO;eCommerce;Technology;In Definition;6;;;;
130928;Kafka - Upgrade MSK en AWS;CIO;eCommerce;Technology;Ready for Development;7;;;;
130664;DefiniciÛn Arquitectura .Net IbÈrico;CIO;eCommerce;Technology;Backlog;8;;;;
130361;[Nexus Piloto Operacional] [Tech] SincronizaciÛn de Manifiestos PT-PT para Nexus;CIO;eCommerce;Technology;High Level Design;9;;;;
130665;DefiniciÛn Arquitectura React IbÈrico;CIO;eCommerce;Technology;Backlog;10;;;;
130666;DefiniciÛn Arquitectura Kotlin IbÈrico;CIO;eCommerce;Technology;Backlog;11;;;;
130495;CreaciÛn de interfaz en nexia para crear incidencias;CIO;eCommerce;Technology;In Definition;12;;;;
130529;[Web de Clientes] - DesconexiÛn Web-Tracking;CIO;eCommerce;Technology;In Solution;13;;;;
130667;DefiniciÛn Arquitectura Github;CIO;eCommerce;Technology;Backlog;14;;;;
