RequestingArea;BudgetGroup;RevenueStream;Weight
SEO;Operations;Retail & Financial Services;41,66666667
EM;Operations;Retail & Financial Services;8,333333333
BCTT;Technology;Retail & Financial Services;11,11111111
SI;Technology;Retail & Financial Services;55,55555556
SI-CRP;Technology;Retail & Financial Services;11,11111111
SI-OPS;Technology;Retail & Financial Services;11,11111111
SI-PRD;Technology;Retail & Financial Services;11,11111111
CISO;CISO;Fulfilment;100
CSI;Commercial;Fulfilment;5,882352941
CTTE;Commercial;Fulfilment;5,882352941
DNI;Commercial;Fulfilment;5,882352941
ECM;Commercial;Fulfilment;5,882352941
GP B2B;Commercial;Fulfilment;5,882352941
GP B2C;Commercial;Fulfilment;5,882352941
GP ECL;Commercial;Fulfilment;29,41176471
GPG;Commercial;Fulfilment;5,882352941
GS;Commercial;Fulfilment;29,41176471
ACR;Corporate;Fulfilment;7,692307692
AVC;Corporate;Fulfilment;7,692307692
CF;Corporate;Fulfilment;7,692307692
CL;Corporate;Fulfilment;7,692307692
CMP;Corporate;Fulfilment;7,692307692
DPO;Corporate;Fulfilment;7,692307692
FL;Corporate;Fulfilment;7,692307692
GRH;Corporate;Fulfilment;7,692307692
GT;Corporate;Fulfilment;7,692307692
PC;Corporate;Fulfilment;7,692307692
RS;Corporate;Fulfilment;7,692307692
ST;Corporate;Fulfilment;7,692307692
TF;Corporate;Fulfilment;7,692307692
EDO;Operations;Fulfilment;41,66666667
EM;Operations;Fulfilment;8,333333333
SEO;Operations;Fulfilment;41,66666667
EM;Operations;Fulfilment;8,333333333
BCTT;Technology;Fulfilment;11,11111111
SI;Technology;Fulfilment;55,55555556
SI-CRP;Technology;Fulfilment;11,11111111
SI-OPS;Technology;Fulfilment;11,11111111
SI-PRD;Technology;Fulfilment;11,11111111
COO;Operations;eCommerce;38,46153846
CMO;Commercial;eCommerce;15,625
ATC;Corporate;eCommerce;19,23076923
CCO;Commercial;eCommerce;15,625
IDC;Commercial;eCommerce;15,625
CFO;Corporate;eCommerce;19,23076923
CIO;Technology;eCommerce;35,71428571
PRO;Corporate;eCommerce;3,846153846
CHR;Corporate;eCommerce;3,846153846
COM;Corporate;eCommerce;3,846153846
