ID;Name;RequestingArea;RevenueStream_origin;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size;RevenueStream
126585;Renovação Firewalls Perímetro - CheckPoint;SI;Mail;Technology;In Definition;20;5;2;5;2;Mail & Services
132060;Migração ADO2GitHub - Pipelines CRM;SI;Mail;Technology;Ready for Solution;21;2;3;3;1;Mail & Services
132222;CCP | Migrate from .Net 8 to .Net 10;SI;Mail;Technology;Backlog;22;;;;;Mail & Services
132220;ESW | Create code reviewer AI agent;SI;Mail;Technology;Backlog;23;;;;;Mail & Services
126584;Reducing the rollout of Praas printers:;SI;Mail;Technology;Backlog;24;;;;;Mail & Services
139303;Observabilidade | Uniformização da alarmística nos clusters do IDP;SI;Mail;Technology;Ready for Approval;25;2;1;2;1;Mail & Services
139339;Mata Aplicações Wave 1.16;SI;Mail;Technology;In Definition;26;4;1;2;3;Mail & Services
132219;CCP | Configure alerts for all CCP applications;SI;Mail;Technology;Backlog;27;3;2;2;2;Mail & Services
126583;Eliminate 50% of O365 Copilot licences;SI;Mail;Technology;In Definition;28;;;;;Mail & Services
140483;INT | - Evolutivo Mulesoft - Março e Abril;SI;Mail;Technology;In Definition;29;2;1;1;1;Mail & Services
49513;APT | Mata Aplicações Wave 1.12 - GCC;SI;Mail;Technology;Backlog;30;;;;;Mail & Services
126581;Downgrade 1.200 / 4.186 Microsoft O365 E5 licences (local) to O365 F3 (web) [1/2 year];SI;Mail;Technology;In Definition;31;;;;;Mail & Services
132059;Mata Aplicações - Wave 1.15 - CRM Oracle Sales;SI;Mail;Technology;Backlog;32;3;3;3;3;Mail & Services
96334;ESW | Github | Allow Github Actions to access resources inside CTT internal network;SI;Mail;Technology;Backlog;33;;;;;Mail & Services
125545;Observability | Alarm Catalog for self provision in applications;SI;Mail;Technology;Backlog;34;5;2;1;;Mail & Services
106746;ESW | Sonar | Connect Github based applications to Sonar;SI;Mail;Technology;Backlog;35;;;;;Mail & Services
131776;NOXUS - Plataforma de IA;PC;Mail;Corporate;Backlog;2;4;2;2;2;Mail & Services
131734;Controlo de correio JPP;GP B2B;Mail;Commercial;In Definition;1;1;;1;2;Mail & Services
128060;XRP | Alteração do fluxo de contabilização;RS;Mail;Corporate;Backlog;1;;;;;Mail & Services
128057;XRP | Refaturação entre empresas;RS;Mail;Corporate;Backlog;2;;;;;Mail & Services
126579;Reformulação do serviço AOS;SI;Mail;Technology;Backlog;36;;;;;Mail & Services
131992;INT | Mulesoft – Refatorização de Aplicações;SI;Mail;Technology;In Definition;37;;;;;Mail & Services
126578;Reformulação do serviço HDDTM;SI;Mail;Technology;Backlog;38;;;;;Mail & Services
140470;Mata Aplicações - Wave 1.15 - CRM Oracle Sales (Fase 1 - Execução);SI;Mail;Technology;Backlog;39;;;;;Mail & Services
127396;Evolutivos Nave Janeiro e Fevereiro 2026;GS;Mail;Commercial;In Approval;22;;;;;Mail & Services
127257;Aviso de Receção (AR) Digital | Envios SuperPortal, Prestadores e Super App;GP B2B;Mail;Commercial;Backlog;22;;;;;Mail & Services
127256;Correio Registado Self-Service| Envios a partir do SuperPortal;GP B2B;Mail;Commercial;Backlog;20;;;;;Mail & Services
127240;Faturação CORRE - Identificação do as-is e desenho do to-be;SI-CRP;Mail;Technology;Backlog;6;2;3;3;2;Mail & Services
127239;Evolutivos SAP BRIM (1º TRIM 26);SI-CRP;Mail;Technology;In Approval;1;3;2;2;1;Mail & Services
127066;Galaxy - Jornada de envios – Jornada Expresso nacional;GS;eCommerce;Commercial;In Solution;3;3;2;2;4;Mail & Services
127065;Galaxy - Jornada de envios – Push recolha destinatário;GS;eCommerce;Commercial;High Level Design;4;3;2;1;3;Mail & Services
126963;GitHub Migration - Implementação de Pipeline T&T em GitHub;SI-OPS;Mail;Technology;Backlog;7;4;;3;3;Mail & Services
126931;Moneyball - Gestão de Consentimentos;GS;Mail;Commercial;Backlog;6;;;;;Mail & Services
126772;Paperless - Guia expresso passar de 3 vias para 2, em apenas uma página;SI-PRD;Business Solutions;Technology;Backlog;6;;;;;Mail & Services
126749;SGEE - Migração de Pipelines ADO2Github;SI-OPS;Mail;Technology;In Approval;5;4;3;3;2;Mail & Services
126735;Data Cost Allocation Model by Business Area;PC;Mail;Corporate;Backlog;7;3;;;;Mail & Services
126734;Migrate Azure Devops to Github Repos and Github Actions - Data repos;PC;Mail;Corporate;Ready for Solution;1;4;;2;2;Mail & Services
126656;GENAI - CIS - AI Automation - BO Faturação;CSI;Mail;Commercial;In Solution;21;3;3;2;2;Mail & Services
126645;GENAI-TOF;CF;Mail;Corporate;In Solution;3;3;2;1;2;Mail & Services
126644;GENAI- Rossum;CF;Mail;Corporate;In Solution;1;4;2;1;1;Mail & Services
126643;Faturas PDF | SuperApp - Faturação Portagens;CF;Mail;Corporate;Backlog;4;3;3;4;1;Mail & Services
126641;GENAI-NBanks;CF;Mail;Corporate;Ready for Solution;2;4;2;2;2;Mail & Services
126577;Renovaçao dos contratos de outsouricng COM;SI;Mail;Technology;In Definition;40;;;;;Mail & Services
132054;Observability | Notifications | Alarmistic association to Teams / Squads;SI;Mail;Technology;Backlog;41;5;2;1;1;Mail & Services
71332;IOP | Sistemas - Migração -  Nova Farm Hyper V Lisboa - Wave 3;SI;Mail;Technology;Pitch;42;;;;4;Mail & Services
131994;INT| -  Reconstrução dos processos de LOGs do SD mulesoft no ELK coorporativo.;SI;Mail;Technology;Backlog;43;;;;;Mail & Services
173201;IOP | CrushFTP - migração de CentOS para Ubuntu;SI;Mail;Technology;Backlog;44;;;;;Mail & Services
132062;BPM - Upgrade WebSphere;SI;Mail;Technology;Pitch;45;3;2;2;1;Mail & Services
127619;Configuration Profiles Endpoint;SI;Mail;Technology;In Definition;46;;;;;Mail & Services
140454;Kafka | Self Service;SI;eCommerce;Technology;Backlog;47;;;;;Mail & Services
126588;Renovação ativos rede Datacenter CTT Express (Lisboa e Barcelona);SI;Mail;Technology;Backlog;48;;;;;Mail & Services
131993;INT| -  Mata Aplicações Wave 1.1X - Solução de Transformação;SI;Mail;Technology;Backlog;49;;;;;Mail & Services
126576;Plano de formação (global e board);CISO;Mail;CISO;Backlog;2;;;;;Mail & Services
126575;DLP (Data Loss Prevention) - Wave 2;CISO;Mail;CISO;Backlog;10;;;;;Mail & Services
126574;DLP (Data Loss Prevention) - Wave 1;CISO;Mail;CISO;Backlog;1;;;;;Mail & Services
126509;Alargamento Infraestrutura  SI a outros sistemas desenvolvidos por EDO;EDO;Mail;Operations;Backlog;8;;;;;Mail & Services
126476;Melhorias nos envios de Carga e Internacional Expresso;GP ECL;eCommerce;Commercial;Ready for Solution;13;;;;;Mail & Services
126459;Super B2C (App + Área Cliente) |  Incluir publicidade genérica do Banco CTT nos canais digitais dos CTT;DNI;Mail;Commercial;Backlog;6;;;;;Mail & Services
126458;Super B2C (App + Área Cliente) |  Alterar forma de gerar push notification na App;DNI;Mail;Commercial;In Definition;1;3;;;;Mail & Services
126423;INTERNACIONAL | IPS  Instalar a versão do package #31 (technical version 13.1.31);SEO;Mail;Operations;In Approval;5;3;2;2;3;Mail & Services
126278;PAI NATAL SOLIDÁRIO;CMP;Mail;Corporate;Backlog;2;2;2;2;3;Mail & Services
126166;Produto Internacional Expresso | Permitir envio de bens para os EUA segmento ocasional;GP ECL;eCommerce;Commercial;In Definition;10;4;3;3;1;Mail & Services
126099;Desenvolvimentos Regulamentares (Congresso UPU Dubai + Incremental Riade);GP B2B;Mail;Commercial;In Definition;13;;;;;Mail & Services
126044;Pesquisa de Pontos Collect | Melhorias;DNI;eCommerce;Commercial;In Definition;2;;;;;Mail & Services
126043;Morada virtual | Serviço de subscrição;GP ECL;eCommerce;Commercial;In Definition;7;4;2;2;4;Mail & Services
126023;Melhorias ao processo de envio de comunicações da Zurich;SI-PRD;Business Solutions;Technology;In Definition;5;;2;1;;Mail & Services
125919;Criação de chatbot no portal ctt expresso;SI-PRD;eCommerce;Technology;Backlog;2;;;;;Mail & Services
125918;Criação de chatbot no super portal;SI-PRD;Mail;Technology;Backlog;3;;;;;Mail & Services
125916;Paperless - Faturação eletrónica em loja;SI-PRD;Mail;Commercial;Ready for Solution;1;;;;;Mail & Services
125912;Serviço de envio de emails sediado na europa;GP B2B;Business Solutions;Commercial;Backlog;10;2;2;3;2;Mail & Services
125766;Evolutivas SAP FI Q1 2026;CF;Mail;Corporate;High Level Design;7;1;1;1;1;Mail & Services
125697;DeMinimis EUA - Solução para retomar os envios de Bens para os EUA para os clientes não contratuais;GP B2B;Mail;Commercial;In Definition;15;3;3;3;3;Mail & Services
126580;Estudo para levantamento e alternativa ao MUS (Microsoft);SI;Mail;Technology;In Definition;50;;;;;Mail & Services
132063;ODM - Uniformização Ambiente Produtivo;SI;Mail;Technology;Backlog;51;3;2;2;1;Mail & Services
95633;Assinaturas de autenticidade emails;SI;Mail;Technology;Backlog;52;;;;;Mail & Services
127817;PTF | ODIN | Muticloud;SI;Mail;Technology;Backlog;53;5;1;1;2;Mail & Services
74950;IOP | Instalação e Ativação da Componente Guardian -  Nova Hyper V;SI;Mail;Technology;Backlog;54;;;;;Mail & Services
125275;Modernização do Processo de Devolução – Fim dos Carimbos usados no CDP;EDO;Mail;Operations;Backlog;11;;;;;Mail & Services
125218;revamp.EPM - Framework CPM 360 Full Scope (Non Core);PC;Mail;Corporate;Ready for Solution;3;;;;;Mail & Services
124619;Envios Online & Super APP | Serviço de Ponto de Entrega;GP ECL;eCommerce;Commercial;Backlog;14;;;;;Mail & Services
124599;Plataforma de Gestão Documental IGCP;GP B2C;Retail & Financial Services;Commercial;In Definition;3;;;;;Mail & Services
124133;Incremento ao processo de pagamento de faturas a fornecedores;CF;Mail;Corporate;Backlog;8;;;;;Mail & Services
131995;INT| -  Alarmística MuleSoft;SI;Mail;Technology;Backlog;55;;;;;Mail & Services
124000;Milytech| Alteração à extração de dados de envios;GP ECL;eCommerce;Commercial;Backlog;21;;;;;Mail & Services
123999;Interconnect Common Return Platform | Upgrade p/ V2 (CRP2);GP ECL;eCommerce;Commercial;In Definition;24;;;;;Mail & Services
123649;Entrega em pontos para a cainiao;GS;eCommerce;Commercial;In Approval;1;3;2;4;2;Mail & Services
123648;Amazon | Serviço Especial Feriado;GP ECL;eCommerce;Commercial;Backlog;16;;;;;Mail & Services
123596;Descontinuação Doxenter - Wave 2;SI-PRD;Business Solutions;Technology;Backlog;4;;;;;Mail & Services
123004;Faturação do produto C65 - Tracked Simples - Alteração Pré-Aviso;GP ECL;eCommerce;Commercial;Backlog;20;;;;;Mail & Services
122320;Implementação de modulo de Planeamento de Transportes em Drivian e Descontinuação do Sigest;SEO;Mail;Operations;Ready for Approval;6;4;2;3;2;Mail & Services
121353;Configuração SAP para Introdução de IBANs da região SEPA;GPG;Payments;Commercial;Backlog;2;;;;;Mail & Services
120972;Cliente EDP - WS P&F- Novo Campo Data;GS;Business Solutions;Commercial;Ready for Solution;5;;;;;Mail & Services
120815;Faturação de Cliente Ocasional - SAP;GPG;Payments;Commercial;Backlog;3;;;;;Mail & Services
120278;Revamp BIC - Indicadores diários e mensais de negócio;PC;Mail;Corporate;Backlog;5;;;;;Mail & Services
119415;Incremento ao Safeplace c/ Integração LMS (Decoupling Brain);EDO;eCommerce;Operations;In Definition;14;;;;;Mail & Services
118750;Validação Automática de Códigos Postais Internacionais;GP ECL;eCommerce;Commercial;Backlog;18;;;;;Mail & Services
118174;GPB2C | Parceria Unicâmbio - Operacionalização de serviço de cambio;GP B2C;Retail & Financial Services;Commercial;Backlog;1;;;;;Mail & Services
116662;Aviso de Receção (AR) Digital nos Postos;GP B2B;Mail;Commercial;In Solution;3;5;;;;Mail & Services
115295;[Nexus] Fase 2 | Âmbito da Fase 2 do Piloto Nexus;EDO;eCommerce;Operations;Discarded;999;;;;;Mail & Services
113960;Informação das vendas por colaborador E nif;GS;Mail;Commercial;Backlog;40;;;;;Mail & Services
111689;Indicadores para Planeamento e Controlo (transações manuais);GPG;Payments;Commercial;Backlog;8;;;;;Mail & Services
111495;GT - Portal AON MVP (com SSO);GT;Mail;Corporate;Backlog;2;;;;;Mail & Services
108370;Campanha para envios internacionais_PCR_4T2025;GP B2B;Mail;Commercial;Backlog;18;;;;;Mail & Services
107975;Descontinuação do winreg;SI-PRD;Mail;Technology;Backlog;7;;;;;Mail & Services
107435;Novo Aceitação imediata de objetos expresso em lockerProjeto;GS;eCommerce;Commercial;Backlog;8;;;;;Mail & Services
48158;IOP | Redução da Obsolescência Protocolos TLS 1.0 & 1.1 WAVE 4 - Servidores Unix;SI;Mail;Technology;Backlog;56;;;;;Mail & Services
105944;Expresso Internacional Premium | Disponibilização do produto no segmento ocasional;GP ECL;eCommerce;Commercial;In Definition;9;;;;;Mail & Services
105938;Notificações Expresso | Aceitação no PUDO (Pedido ZALANDO);GP ECL;eCommerce;Commercial;Backlog;34;;;;;Mail & Services
105685;IA & Automação Corporate;SI-CRP;Mail;Technology;Backlog;3;;;;;Mail & Services
103865;Avaliação do custo de extensão do licenciamento atual para a utilização do serviço webhook - BKTER;GP B2B;Business Solutions;Commercial;Backlog;17;;;;;Mail & Services
101572;Lojas MEO - Recolhas Contextualizadas;GS;Mail;Commercial;In Definition;24;;;;;Mail & Services
100104;SGEE - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;8;;;;;Mail & Services
100094;SRP - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;9;;;;;Mail & Services
100093;TTEVOB - Descontinuação FTP;SI-PRD;eCommerce;Technology;Backlog;10;;;;;Mail & Services
100092;PEF - Descontinuação da utilização do FTP;SI-PRD;Business Solutions;Technology;Backlog;11;;;;;Mail & Services
158454;APT | IBM ODM | configurar HTTPS;SI;Mail;Technology;Backlog;57;;;;;Mail & Services
50641;APT | ODIN | Self Service;SI;Mail;Technology;Backlog;58;;;;;Mail & Services
48157;IOP | Redução da Obsolescência Protocolos TLS 1.0 & 1.1 WAVE 3;SI;Mail;Technology;Backlog;59;;;;;Mail & Services
95774;Alterações nos Relatórios do DEM para pagamentos MB WAY;GPG;Payments;Commercial;In Definition;5;;;;;Mail & Services
48156;IOP | Redução da Obsolescência Protocolos TLS 1.0 & 1.1 WAVE 2;SI;Mail;Technology;Backlog;60;;;;;Mail & Services
94915;Agentes Payshop - criação de base de dados certificada com ligação a ferramenta de edição/consulta;CSI;Mail;Commercial;Backlog;19;;;;;Mail & Services
94489;Faturação Agentes Payshop - automatização e integração processo CTT;CSI;Mail;Commercial;Backlog;18;;;;;Mail & Services
94164;Reconfiguração de Zonas de Taxação | Produtos Internacionais Expresso;GP ECL;eCommerce;Commercial;Backlog;23;;;;;Mail & Services
93715;Logística - Utilização de Porta Paletes Autónomos;EDO;Fulfilment;Operations;In Solution;12;;;;;Mail & Services
93166;"Integração Automaise - Novo Voice Bot - Substituir as atuais ""primas""";AVC;eCommerce;Corporate;Backlog;1;5;5;5;3;Mail & Services
92337;GCA - Aforro upgrade Oracle;GP B2C;Retail & Financial Services;Commercial;Backlog;8;;;;;Mail & Services
91809;DSD | Criar as Listas de Correio Registado e de EMS em Simultâneo;EDO;Mail;Operations;In Solution;2;;;;;Mail & Services
91539;D. Oferta - atualização base de dados dos empregados CTT em NAVe;GS;Mail;Commercial;Backlog;41;;;;;Mail & Services
90947;Descontinuação das Guias em Papel e Aplicações Locais – Introdução de um custo adicional;GP B2B;Mail;Commercial;Backlog;26;;;;;Mail & Services
88857;CORP - Covline - Integração de clientes e contratos via kafka;CF;Mail;Corporate;Backlog;6;;;;;Mail & Services
88638;Novo modelo de integração SAP SF com Paynest;CF;Mail;Corporate;Backlog;10;;;;;Mail & Services
88579;Automatização de validação do QR Code de Selos;GS;Mail;Commercial;In Definition;28;;;;;Mail & Services
87861;Teleponto - Migração de BD Oracle para BD SQL;SI-CRP;Mail;Technology;In Definition;5;;;;;Mail & Services
85670;POD - API feasibility for Cainiao;GS;Mail;Commercial;In Definition;2;;;;;Mail & Services
85248;Gestão de Stocks Vending em SAP;GS;Mail;Commercial;Backlog;30;;;;;Mail & Services
84860;Amazon | Informação complementar de fechos ocasionais e férias;GP ECL;eCommerce;Commercial;Backlog;17;;;;;Mail & Services
81605;DUC - Relatório Mensal de Pagamentos de Impostos com Cartão MB;GPG;Payments;Commercial;In Definition;6;;;;;Mail & Services
81168;Tratamento de rejeitados no SD - Tipificar, isolar e informar (BG1): Incremento;EDO;eCommerce;Operations;In Definition;15;;;;;Mail & Services
78905;Evolução Modelo de Incentivos Distribuição;SEO;Mail;Operations;Backlog;4;;;;;Mail & Services
78453;Alteração da Autenticação dos Distribuidores nos Lockers;GP ECL;eCommerce;Commercial;Backlog;22;;;;;Mail & Services
78005;Nexus | We Care | Adaptation of Service Infrastructures | MVP;AVC;eCommerce;Corporate;Backlog;6;5;5;5;5;Mail & Services
78003;Nexus | We Care | Adaptation of Service Infrastructures | Pilot;AVC;eCommerce;Corporate;Backlog;5;5;5;5;5;Mail & Services
78001;Nexus | We Care | SalesForce Parametrization | Post MVP;AVC;eCommerce;Corporate;Backlog;3;5;5;5;5;Mail & Services
77999;Nexus | We Care | SalesForce Parameterization | Pilot;AVC;eCommerce;Corporate;Backlog;2;5;5;5;5;Mail & Services
77828;Base Dados Modelo de Incentivos CTT Expresso;SEO;eCommerce;Operations;In Definition;2;;;;;Mail & Services
76788;[Projeto One Million] Redução backlog objetos expresso;EDO;eCommerce;Operations;Backlog;16;;;;;Mail & Services
76670;GALAXY | Identificação dos Clientes nas Lojas Físicas;GS;Mail;Commercial;In Definition;16;;;;;Mail & Services
76554;Módulo de Compliance Payshop;GPG;Payments;Commercial;Backlog;4;;;;;Mail & Services
76398;Galaxy | MCE & CDP - Nova Fase pós MVP - Equipa ENABLER Salesforce (AGILE WAY);GS;Mail;Commercial;In Definition;17;;;;;Mail & Services
76382;[35908] - Jornada NBO: MOBI;GS;Mail;Commercial;In Definition;20;;;;;Mail & Services
76303;Correio Registado Self-Service| Envios a partir da SuperApp e Site CTT;GS;Mail;Commercial;Backlog;42;;;;;Mail & Services
76082;GP B2C – BO Site CTT - Simulador Certificados de Aforro / App CTT – Aforro Digital;GP B2C;Retail & Financial Services;Commercial;Backlog;4;;;;;Mail & Services
131991;INT | Migração da solução da Knowledge Base atual para uma solução Knowledge Base coorporativa;SI;Mail;Technology;Backlog;61;;;;;Mail & Services
74510;Alteração Talão Vales Postais superiores a 1.000€ - recomendação auditoria REC/ASN:2025-0015;CSI;Mail;Commercial;Backlog;11;;;;;Mail & Services
71501;Nova Entidade Certificadora (CA) Autoridade Tributária e Aduaneira (AT).;CF;Mail;Corporate;In Definition;13;;;;;Mail & Services
35914;IOP | Evolução da Private Key Infrastructure (PKI) dos CTT;SI;Mail;Technology;Backlog;62;;;;;Mail & Services
71073;Lojas com necessidade de 2 máquinas dispensadoras de senhas;BCTT;Mail;Technology;Backlog;5;3;;2;1;Mail & Services
70736;WFA | Incremento 3 | Férias;PC;Mail;Corporate;In Approval;4;;;;;Mail & Services
70697;"Nexus | Digital Channels | CLIENT PORTAL | ""SUPER PORTAL"" (extra MVP)";DNI;eCommerce;Commercial;Backlog;3;;;;;Mail & Services
70695;Nexus | Data | Group Data;PC;eCommerce;Corporate;In Definition;8;;;;;Mail & Services
70559;Controlo dos Subadiantamentos (numerário) – cód. 011 - Auditoria REC/ARC 2024_1399;CSI;Mail;Commercial;Backlog;7;;;;;Mail & Services
70015;BCTT - renovação de equipamentos lojas especializadas;BCTT;Mail;Technology;Backlog;9;;;;;Mail & Services
69892;Teleponto / Dol - Registo de situações de doenças;EDO;Mail;Operations;Backlog;10;;;;;Mail & Services
69406;Nexus | We Bill | Upgrade Convergent Mediations e Charging;SI-CRP;eCommerce;Technology;In Definition;2;;;;;Mail & Services
69341;Otimização CRB;CF;Mail;Corporate;Backlog;12;;;;;Mail & Services
69337;Confirming 2.0;CF;eCommerce;Corporate;Backlog;11;;;;;Mail & Services
132058;Evolutivos CRM Q1.2026;SI;Mail;Technology;Pitch;63;2;;1;1;Mail & Services
68919;Máquina vending machines: Associação de Receita, Faturação e gestão de stock;GS;Retail & Financial Services;Commercial;In Definition;31;;;;;Mail & Services
68794;Tratamento de rejeitados no SD - Eliminar pré-avisos com CP ficticios (BG4);EDO;eCommerce;Operations;In Definition;13;;;;;Mail & Services
68791;Tratamento de rejeitados no SD - Entrada de pré-aviso pós primeira passagem do objeto na rede de tratamento (BG3);EDO;eCommerce;Operations;In Definition;17;;;;;Mail & Services
68267;Descontinuar Grafana Dados;PC;Mail;Corporate;Backlog;11;;;;;Mail & Services
68236;Informação normalizada (Indicadores de Gestão IG) - Fusão relatório 65 no 59 (2º e 3º fase);GP B2B;Mail;Commercial;In Definition;6;;;;;Mail & Services
67870;BCTT - disponibilização de logs via SFTP;BCTT;Mail;Technology;Backlog;7;;;;;Mail & Services
192640;IOP | DNS private resolvers - descontinuar bind em 2 vms ubuntu;SI;Mail;Technology;Backlog;64;;;;;Mail & Services
65058;El corte Inglês - Relatorios de Conciliação forma automatica;GS;Mail;Commercial;In Definition;36;;;;;Mail & Services
63944;solução de atualização de tracking em real time - Cliente Veryfex (Prozis);GS;eCommerce;Commercial;In Definition;21;;;;;Mail & Services
63424;Revamp ViaCTT – 2ª Fase;GP B2B;Business Solutions;Commercial;In Definition;14;;;;;Mail & Services
