ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
136913;[Qlik] - App Control de Efectivos (incorporación de Kpis);CCO;eCommerce;Commercial;Backlog;48;2;;;
136610;[Notificaciones] - Customer Communications Management basado en la funcionalidad actual;CMO;eCommerce;Commercial;Pitch;113;3;;2;1
136346;Enlace para usuario en selección PUDO para RDP a través de Web Cliente;CMO;eCommerce;Commercial;Backlog;115;;;;
136235;DHL Parcel - Webhook- Evento Recogida de Caducado en Pudo y Falso Entregado;IDC;eCommerce;Commercial;In Definition;6;;;;
136234;WANB - Webhook;IDC;eCommerce;Commercial;In Definition;59;;;;
136233;Integracion Clientes Salesforce - Generacion automatica de claves de cognito para integracion Mapper;IDC;eCommerce;Commercial;In Definition;15;;;;
136179;Api Horario Cortes Recogidas;IDC;eCommerce;Commercial;In Definition;60;;;;
136177;Api Manifest- Devovler fecha y hora de recogida en respuesta cuando proceda;IDC;eCommerce;Commercial;In Definition;61;;;;
136173;Api Solicitud de Recogidas (sin envio asociado);IDC;eCommerce;Commercial;In Definition;62;;;;
136127;Reactivar recursos al iniciar la ruta (Vehículos-Conductores);COO;eCommerce;Operations;In Definition;44;2;2;1;1
136116;Mapper - uso de codigos de cliente y credenciales Cloud;IDC;eCommerce;Commercial;In Definition;10;;;;
135956;TEMU - WebHook;IDC;eCommerce;Commercial;In Definition;63;3;;;
135612;"Mejora de visualización en PDA last-mail envíos balanceados por SENDA ""LIBRA""";COO;eCommerce;Operations;Backlog;45;;;;
135524;[web clientes] Incluir formato Excel y CSV en suscripción de informes;CMO;eCommerce;Commercial;Backlog;116;;;;
135447;Carga de direcciones en el historial;COO;eCommerce;Operations;Backlog;999;;;;
135345;[Web de clientes] - Seguimiento - Geoposición V2 - Comparar destino con geoposición de entrega;CMO;eCommerce;Commercial;Backlog;117;;;;
135153;Mejora creación servicios esporádicos;COO;eCommerce;Operations;In Definition;46;3;1;1;2
135097;"[Internacional]-Notificación por Incidencia ""Falta de documentación""";CMO;eCommerce;Commercial;Backlog;118;;;;
135029;[Salesforce Sales] - Brokers y MBE: Permitir generación de usuarios web;CCO;eCommerce;Commercial;Backlog;49;3;5;5;5
134946;[Notificaciones] - Locky - Notificaciones de incidencias;CMO;eCommerce;Commercial;Closed;999;;5;;
134746;[PUDOS] - Destacar Locky en localizador de pudos;CMO;eCommerce;Commercial;Backlog;119;;;;
134702;P&L Ibérica e información de gestión;CFO;eCommerce;Corporate;In Solution;5;;;;
134614;CONTRATO ON LINE;CMO;eCommerce;Commercial;Backlog;120;;;;
134613;[Web publica] - Ajustes Locky en visión destinatario de web pública;CMO;eCommerce;Commercial;Backlog;121;;;;
134602;[Web de cliente] - Seguimiento - Utilizar en filtro y listado de envío la fecha registrada en la variable shipping_date;CMO;eCommerce;Commercial;Backlog;122;;;;
134467;Portal de Proveedores - Implementar recálculo automático de liquidaciones Linehaul de rutas esporádicas;COO;eCommerce;Operations;In Definition;47;3;2;1;1
133992;[Web de clientes] - Agenda - Incluir campo provincia en fichero de carga masiva de agenda;CMO;eCommerce;Commercial;Backlog;123;;;;
133988;[Web de clientes] - Seguimiento - Incidencias gestionables muestra mensaje erróneo;CMO;eCommerce;Commercial;Backlog;124;;;;
133834;[Nexus-MVP] [Web de Clientes] Traducción al Inglés y Portugués;CMO;eCommerce;Commercial;Pitch;126;;;;
133185;Sistema de seguimiento de rutas de arrastre - v2;COO;eCommerce;Operations;Backlog;48;;;;
132736;[Internacional] - Manifiesto de envíos internacionales de explotación con aduanas por métodos de Integración Clientes;IDC;eCommerce;Commercial;In Definition;64;;;;
132537;[Qlik] - Creación de un nuevo filtro TYPE.REP.HISTÓRICAL;CCO;eCommerce;Commercial;In Definition;10;3;;2;
132534;[Qlik] - Gestión de oportunidades - Hito semanal por comercial disponible;CCO;eCommerce;Commercial;In Definition;5;2;;;
132113;Reduce SalesForce Storage before contract renewal;CIO;eCommerce;Technology;In Production;999;4;;3;1
131163;[Web Pública] - Localizador de puntos - Actualizar texto de enlace;CMO;eCommerce;Commercial;In Production;999;;;;
131162;[Salesforce] Notificación automática cambio de comercial;CMO;eCommerce;Commercial;Backlog;127;;;;
131157;[PUDOS][PDA]-Evitar falsos entregados desde PDA repartidor;CMO;eCommerce;Commercial;Backlog;128;;;;
131144;[Salesforce] Adición del campo Dirección en objeto user;CIO;eCommerce;Technology;In Production;999;2;;1;1
131143;Plantilla modificacion de clientes sap hanna;CFO;eCommerce;Corporate;Backlog;69;;;;
131138;[WebHook] - Shein - LastMile - Modificación de destino HD a Pudo y su comunicación al cliente.;COM;eCommerce;Corporate;In Production;999;;;;
131132;"[Web de clientes][Desktop] - Seguimiento - Ocultar botón de ""Estados"" / Alert de filtros";CMO;eCommerce;Commercial;Backlog;129;;;;
131130;[Web de clientes][Mobile] - Mi cuenta + Ayuda y soporte;CMO;eCommerce;Commercial;Backlog;130;;;;
131128;[Web de clientes][Mobile] - Agenda;CMO;eCommerce;Commercial;Backlog;131;;;;
131126;[Web de clientes][Mobile] - Seguimiento de envíos;CMO;eCommerce;Commercial;Backlog;132;;;;
131124;[Web de clientes][Mobile] - Burger Menu + Actualización de página de inicio;CMO;eCommerce;Commercial;Backlog;133;;;;
131122;[Web de clientes][Mobile] - Solicitud de envío;CMO;eCommerce;Commercial;Backlog;135;;;;
131115;[Web Pública] - Formulario y email Pagina Red PUDOS;CMO;eCommerce;Commercial;Backlog;136;;;;
131111;[Data Lake] - Optimización proceso de ingesta en streaming;CIO;eCommerce;Technology;Closed;999;;;;
131110;[ESTADOS] - Mostrar a clientes el mismo evento/estado sucesivo ocurrido en dias distintos;IDC;eCommerce;Commercial;Backlog;20;;;;
131105;[Web de Clientes] - Suscripción de informes - Reporte con la información de envíos de los últimos 30 días naturales - Ordenar reporte;CMO;eCommerce;Commercial;Backlog;137;;;;
131086;Evolución portal de LastMile V.2;COO;eCommerce;Operations;Backlog;49;;;;
131085;Evolución portal de Arrastres V.2;COO;eCommerce;Operations;Backlog;41;;;;
131082;[PUDOS] - Habilitación de LMS para entregas en PUDOS en ES;CMO;eCommerce;Commercial;Backlog;138;;;;
131081;[PUDOS] - Automatización del tratamiento de incidencias de PUDOS cerrados;CMO;eCommerce;Commercial;Backlog;31;;;;
131080;[FR y BR] - Tarifas y Ofertas;CMO;eCommerce;Commercial;Backlog;139;;;;
131079;[FR y BR] - Campo departamento y facturación;CMO;eCommerce;Commercial;Backlog;140;;;;
131078;[Desconexión SGC]: Brókers y Franquicias: Modulo distribución de Franquicias;COO;eCommerce;Operations;Backlog;28;;;;
131077;[Desconexión SGC]: Brokers y Franquicias: grabación de envíos con/sin entrega;COO;eCommerce;Operations;Backlog;19;;;;
131076;[Desconexión SGC]: Creación y mantenimiento de CO's;COO;eCommerce;Operations;Backlog;18;;;;
131075;[Desconexión SGC]: Canarias;COO;eCommerce;Operations;Backlog;20;;;;
131074;[Desconexión SGC]: Internacional;COO;eCommerce;Operations;Backlog;31;;;;
131073;[Desconexión SGC]: Brókers Franquicias: Gestión de adeudos y garantías;COO;eCommerce;Operations;Backlog;26;;;;
131070;Nuevo entorno de desarrollo para microservicios;CIO;eCommerce;Technology;In Definition;71;;;;
131067;[Nexus Piloto Operacional] Puesta en marcha Fase 2 del Piloto Operacional con el flujo de envíos PT-PT;COO;eCommerce;Operations;In Approval;7;;;;
131065;Exponer dato de código de recogida propia;PRO;eCommerce;Corporate;Backlog;10;;;;
131059;Plataforma de Configuración de Agentes IA;CIO;eCommerce;Technology;In Definition;70;;;;
131056;[PUDOS] - Generación POD envíos Celeritas / Locky;CMO;eCommerce;Commercial;Backlog;999;;;;
131055;Nueva Herramienta de Verificación de Pagos TEMU (App);CFO;eCommerce;Corporate;In Solution;3;;;;
131044;[PUDOS] - Herramienta para orden de recogidas en PUDOS;CMO;eCommerce;Commercial;High Level Design;6;;;;
131025;Migración SGC - Estacionados a Nexus;COO;eCommerce;Operations;Backlog;27;;;;
131024;[NEXUS] [Desconexión SGC - FR y BR] [Web de clientes] Configuración - Administración, gestión de usuarios y centros de FRANQUICIAS y BROKERS (settings);CMO;eCommerce;Commercial;In Solution;10;4;;2;3
131018;[WEB CLIENTE] Configuración visibilidad web a nivel CENTRO;CMO;eCommerce;Commercial;Backlog;142;;;;
131009;Nuevo universo de envios Senda fin de semana;COO;eCommerce;Operations;In Production;42;;;;
131008;[PUDOS] - Mejora Pudo Manager;CMO;eCommerce;Commercial;Backlog;143;;;;
131002;Envíos Amazon destino Braga solo manifestados para entrar en senda;COO;eCommerce;Operations;Ready for Approval;6;;;;
130997;[PUDOS] - [QLIK] Inclusión de campo provincia en hoja PUDO POINT LIST;CMO;eCommerce;Commercial;Backlog;97;;;;
130996;Visualización de kilómetros en Qlik;PRO;eCommerce;Corporate;Backlog;4;;;;
130995;KPIs de Prevención de Riesgos Laborales de CTT Express;PRO;eCommerce;Corporate;Ready for Solution;3;;;;
130992;[Web de Clientes] - TikTok - Permitir visibilizar el componente de geoposición de los entregados en un mapa que tiene configurado Salesforce;CMO;eCommerce;Commercial;Selected for Production;3;;;;
130991;Crear entornos no productivos;CIO;eCommerce;Technology;Backlog;4;;;;
130990;Stack Observabilidad Ibérico;CIO;eCommerce;Technology;Backlog;3;;;;
130989;Desconexión de SGC - Definición del RoadMap;CIO;eCommerce;Technology;Backlog;1;;;;
130981;ECCS por peso Informado;CFO;eCommerce;Corporate;Backlog;6;;;;
130970;[Salesforce] - Información de campos en los casos del Plan de acompañamiento;IDC;eCommerce;Commercial;Backlog;57;;;;
130967;[Bitácora] - Bitacora Management que permita implementar los procesos actuales de configuración en Bitácora;CIO;eCommerce;Technology;In Definition;59;;;;
130965;[SGC] - Omitir mensajes de Franquicias;CCO;eCommerce;Commercial;In Production;42;;;;
130958;[Web Pública 2.0] - Web Pública 2.0 Fase II - V2;CMO;eCommerce;Commercial;Ready for Solution;25;;;;
130945;Implantación con empresa externa de software para la medición de la Huella de Carbono;PRO;eCommerce;Corporate;Backlog;5;;;;
130941;Portal de Proveedores - Posibilidad de facturar al mismo proveedor por España (CTT Express) o Portugal (CTT o CTT Expresso).;COO;eCommerce;Operations;Selected for Production;9;;4;1;3
130935;[Web pública 2.0] - Seguimiento de envíos - Acciones según número de intentos de entrega - Dynamic Cases;CMO;eCommerce;Commercial;Backlog;102;;;;
130931;Herramienta Soporte ADT en Nexia;IDC;eCommerce;Commercial;In Definition;54;;;;
130928;Kafka - Upgrade MSK en AWS;CIO;eCommerce;Technology;In Production;7;3;3;;
130921;SLA Sábados y Domingos;ATC;eCommerce;Corporate;Backlog;20;;;;
130916;[Web de Cambios] - Mantener el idioma configurado por defecto en web de cambio;CMO;eCommerce;Commercial;Backlog;101;;;;
130915;[Web de Cambios] - Al acceder desde la notificación N12 mostrar por defecto cambio de dirección;CMO;eCommerce;Commercial;Discarded;101;;;;
130912;[Mulesoft] - [Api Integrations Clientes] : Disponer de los client_id que invocan a los endpoint de integraciones;IDC;eCommerce;Commercial;Backlog;9;;;;
130907;[Web pública] - Medición Analytics - Añadir ID en botones de los aplicativos web;CMO;eCommerce;Commercial;Discarded;100;;;;
130906;Tasa Gasoil Portugal;COO;eCommerce;Operations;In Production;5;;;;
130902;[API GET TRACKING BY DATES] - WEB TRACKING - Añadir código envío devolución - API Rest, capa User Experience;IDC;eCommerce;Commercial;Backlog;53;;;;
130900;[SGC] - Lógica de aplicación de perfil tarifario a nuevos centros en SGC;CCO;eCommerce;Commercial;In Definition;6;;;;
130894;Expansión de lectura en contenedores (Propios y de clientes);COO;eCommerce;Operations;In Definition;2;;;;
130891;Shopify- Habilitar adicionales identificación en destino y verificacion destinatario;IDC;eCommerce;Commercial;Discarded;52;;;;
130888;WooCommerce- Habilitar adicionales identificación en destino y verificacion destinatario;IDC;eCommerce;Commercial;Backlog;51;;;;
130885;Prestashop- Habilitar adicionales identificación en destino y verificacion destinatario;IDC;eCommerce;Commercial;Backlog;50;;;;
130874;Portal de Proveedores - Poder ordenar Control Horario por cualquier columna;COO;eCommerce;Operations;Backlog;36;;1;;1
130873;[Nexus Piloto Operacional] [We Serve] Incremento de envíos en Piloto y despliegue Nexus;COO;eCommerce;Operations;In Solution;10;;;;
130871;[Web de Clientes] - Vulnerabilidad crítica web clientes y Revisión de la web antigua;CIO;eCommerce;Technology;In Definition;65;;;;
130870;[PUDOS] - Gestión de saturación en puntos Collectt;CMO;eCommerce;Commercial;Backlog;98;;;;
130861;[Minerva] - Cambiar método de autenticación en Minerva;CIO;eCommerce;Technology;In Definition;16;;;;
130858;Query direcciones de recogida portal del proveedor;CFO;eCommerce;Corporate;In Definition;70;;;;
130856;[Qlik ] - App Efectivos;CCO;eCommerce;Commercial;Closed;1;;;;
130853;Definición de la estrategia de preparación de entornos de prueba de aplicaciones;CIO;eCommerce;Technology;Backlog;58;;;;
130847;[NEXUS]-[OOH] - MVP;CMO;eCommerce;Commercial;Backlog;999;;;;
130844;[Salesforce] - Nueva landing captación SEM conectada con el CRM y Pardot;CMO;eCommerce;Commercial;Ready for Solution;105;;;;
130843;[Web pública Nexus] - Imágenes alojadas en DOT (ex Wordpress) estudiar alojarlas en AWS;CIO;eCommerce;Technology;Backlog;57;;;;
130832;"Cierre administrativo automático - ""Evitar pasar a Entregado Administrativo envíos que tienen un estado entregado y posteriormente se abre una caso en Salesforce y cambia a otro estado""";ATC;eCommerce;Corporate;In Solution;10;;;;
130830;[Salesforce - Minerva] Datos de la oferta Minerva en objeto Oferta;CCO;eCommerce;Commercial;In Definition;13;;;;
130829;Notificaciones AWS para migraciones de lambdas de python 3.9 a 3.12;CIO;eCommerce;Technology;Backlog;64;;;;
130826;[Salesforce] - Información de la actividad del cliente en Cuenta en Sales (a partir de Qlik);CCO;eCommerce;Commercial;Backlog;25;;;;
130824;[PUDOS]-Nueva colección en Nexia. Acceso datos de DB manifest;CMO;eCommerce;Commercial;Backlog;34;;;;
130817;[Internacional]- Actualización Web- Módulo Aduana;CMO;eCommerce;Commercial;In Definition;145;;;;
130815;Revisión del PRN actual;CIO;eCommerce;Technology;Backlog;63;;;;
130811;Acciones para evitar la duplicidad de recogidas de clientes v2;COO;eCommerce;Operations;In Solution;3;;;;
130807;Manifest-file: Admitir carga fichero Standar Cloud sin los campos de shipping_code e item_codes rellenos (mismo comportamiento que api de experiencia de clientes);IDC;eCommerce;Commercial;In Definition;58;;;;
130805;[Web de clientes] - Crear función JS que devuelva el ID de los usuarios;CMO;eCommerce;Commercial;Backlog;40;;;;
130804;[Salesforce Sales - SGC ] - Evitar actualizaciones en SGC en los registros de franquicias;CCO;eCommerce;Commercial;Backlog;22;;;;
130796;MongoDB - Recopilación de usuarios y reset de contraseñas;CIO;eCommerce;Technology;Backlog;62;;;;
130794;Actualización Plan C;COO;eCommerce;Operations;Ready for Solution;51;;;;
130793;Federación de acceso a Salesforce mediante SSO - EntraID;CIO;eCommerce;Technology;Backlog;61;;;;
130783;To Expedite - [Salesforce Sales] - NEW WORKFLOW OFERTAS (Cambio del flujo de aprobación de ofertas según usuario y modelo tarifario);CCO;eCommerce;Commercial;Pitch;8;;;;
130776;Actualizar lista de esquemas de documentación que permiten asociado;COO;eCommerce;Operations;In Production;0;;1;1;
130775;[Salesforce Maps] - Nuevas funcionalidades (Fase 3);CCO;eCommerce;Commercial;In Definition;20;;;;
130773;Migracion Metodo WS GetServiceEvents de SGC a Cloud (Dupla);IDC;eCommerce;Commercial;Ready for Solution;21;;;;
130767;[Integración de Clientes] Tik Tok - Bloqueo del dato publicado de peso y medidas después del estado definitivo.;CCO;eCommerce;Commercial;In Definition;7;;;;
130746;cambios masivos de estados;COO;eCommerce;Operations;Backlog;30;;;;
130742;Evolución verificación periodos + (pesos y medidas) V2;CFO;eCommerce;Corporate;Backlog;68;;;;
130741;[NEXUS] – Normalización, almacenamiento y gestión de consentimientos (GDPR) en los activos digitales;CMO;eCommerce;Commercial;Pitch;58;;;;
130732;[PUDOS] [Web clientes] - Añadir campo nombre rtt en RDP;CMO;eCommerce;Commercial;Backlog;47;;;;
130730;Optimización del CAU mediante herramientas de autodiagnóstico para operativas críticas;CIO;eCommerce;Technology;Backlog;60;;;;
130725;[DHL Parcel] Envíos PT - PT;IDC;eCommerce;Commercial;In Production;1;;;;
130719;Los usuarios de las delegaciones no tienen que ver las liquidaciones de LH de los proveedores;COO;eCommerce;Operations;In Development;17;2;;;2
130716;Integración con CACESA para la sustitución de ADYCO (30-nov);COO;eCommerce;Operations;Ready for Solution;29;;;;
130713;Creación Arquetipo .net;CIO;eCommerce;Technology;Ready for Solution;38;;;;
130712;[Notificaciones] - [Mail] - [Modificación] - Actualizar template notificaciones Custom para modificar imágenes;CMO;eCommerce;Commercial;In Production;0;;;;
130709;Actualización automática de aplicaciones hijas en Nexia;CIO;eCommerce;Technology;In Definition;67;;;;
130701;Nuevos desarrollos Normalización de direcciones;COO;eCommerce;Operations;In Solution;1;;;;
130700;Migrar clusters de Mongo a MultiAZ;CIO;eCommerce;Technology;Backlog;66;;;;
130699;[Qlik Sense][A-Scan] - Nuevos Filtros;COO;eCommerce;Operations;Ready for Acceptance;43;;;;
130698;[Qlik] - Analítica Comercial. Filtro de Comercial Activo;CCO;eCommerce;Commercial;Closed;43;;;;
130694;Control de envios duplicados: validacion SINONIMO BULTO / REFERENCIA CLIENTE;IDC;eCommerce;Commercial;In Definition;11;;;;
130691;[Salesforce] - Usuario / Origen de una acción sobre un envío en la trazabilidad desde ATC;ATC;eCommerce;Corporate;Ready for Solution;12;;;;
130676;[Web de Clientes] - Visualizar costes de los servicios adicionales en la web de clientes;CMO;eCommerce;Commercial;Backlog;48;;;;
130675;Cyber - Securización de los accesos a webcliente.cttexpress.com y api.cttexpress.com;CIO;eCommerce;Technology;Backlog;68;;;;
130672;QLIK QoS: Express & Parcels (PT-PT);ATC;eCommerce;Corporate;Closed;1;;;1;
130670;Migración Infraestructura de Web Corporativa de AckStorm a Ctt Express;CIO;eCommerce;Technology;Backlog;19;;;;
130669;Migración Infraestructura GIT => GitHub , Arquetipo .net;CIO;eCommerce;Technology;Backlog;18;;;;
130668;Migración Infraestructura GIT => GitHub (Salesforce);CIO;eCommerce;Technology;Backlog;17;;;;
130667;Definición Arquitectura Github;CIO;eCommerce;Technology;Backlog;14;;;;
130666;Definición Arquitectura Kotlin Ibérico;CIO;eCommerce;Technology;Backlog;11;;;;
130665;Definición Arquitectura React Ibérico;CIO;eCommerce;Technology;Backlog;10;;;;
130664;Definición Arquitectura .Net Ibérico;CIO;eCommerce;Technology;Backlog;8;;;;
130663;API Clientes - Authorization;CIO;eCommerce;Technology;Backlog;5;;;;
130662;Migración Microservicios a SLA nuevo;CIO;eCommerce;Technology;In Definition;56;;;;
130659;Portal Proveedores Linehaul - Habilitar cancelamiento de ruta;COO;eCommerce;Operations;Ready for Solution;35;;;;
130655;[ESTADOS VISIBLES] Endpoint Client Experience API REST GET TRACKING - TIK TOK - estados no devueltos - Copy;IDC;eCommerce;Commercial;Backlog;26;;;;
130653;SGC - Anulación eventos PT;CFO;eCommerce;Corporate;Backlog;67;;;;
130649;Creación Estados Aduanas, reporte a clientes y facturación;PRO;eCommerce;Corporate;In Definition;2;;;;
130647;Diseñar Flujos de trabajo IA - .Net;CIO;eCommerce;Technology;Backlog;54;;;;
130640;Portal Proveedores Linehaul - Incluir concepto peaje en la facturación;COO;eCommerce;Operations;In Production;0;;;;
130639;[Web de Clientes] - Seguimiento de Envío - Posibilidad de descargar el albarán asociado al envío;CMO;eCommerce;Commercial;Ready for Solution;146;;;;
130635;[Nexus] - Información Pública de los Clientes - visión de información de clientes a destinatarios;CMO;eCommerce;Commercial;In Definition;95;;;;
130634;[Minerva] - Habilitar Minerva para el uso por parte de los Broker / Franquicias (Operativa + Modelo tarifario);CMO;eCommerce;Commercial;In Definition;33;;;;
130631;Migracion Hosting aplicacion Shopify a servidores CTT;IDC;eCommerce;Commercial;In Definition;22;;;;
130626;[Nexus] - We Sell (Lead to Contract) 2.0;CCO;eCommerce;Commercial;In Definition;11;;;;
130625;Desconectar servidor SFTP SGC;CIO;eCommerce;Technology;Backlog;53;;;;
130622;Incluir en nexia opciones multi-idioma;CIO;eCommerce;Technology;Backlog;52;;;;
130604;[Integración de Clientes ] - Configuración fichero de COD para Zalando;IDC;eCommerce;Commercial;Discarded;8;;;;
130602;[PUDOS] - Notificaciones de RDP origen PT;CMO;eCommerce;Commercial;Backlog;73;;;;
130599;[PUDOS] - [Salesforce-Dynamic Case] - EL botón de reenvío de pin debe reconocer que el envío tiene estado 2310 no que está en estado 2310;CMO;eCommerce;Commercial;Backlog;95;;;;
130598;[Web Pública] [CIBERSEGURIDAD] - Migración de infraestructura de MiddleWare de PhP;CIO;eCommerce;Technology;In Definition;6;;;;
130595;[Nexus][Internacional]-[Nuevo Producto ECONOMY]- DHL-PARCEL;CMO;eCommerce;Commercial;In Development;2;5;;2;4
130590;[WebHook] - ZooPlus - Transmisión de estados en mensaje estándar;IDC;eCommerce;Commercial;In Definition;7;;;;
130587;[WebHook] - Cacesa;IDC;eCommerce;Commercial;In Definition;16;;;;
130577;[Salesforce Sales] - Multi oportunidad en Cuentas;CCO;eCommerce;Commercial;High Level Design;3;;;;
130576;[PUDOS] - Pantallas Nexia consulta estados de proveedor;CMO;eCommerce;Commercial;Backlog;92;;;;
130573;Creación arquetipo desarrollo React;CIO;eCommerce;Technology;Backlog;51;;;;
130572;[Web de Clientes] - Anulación de recogidas;CMO;eCommerce;Commercial;Backlog;93;;;;
130567;[ID LOGISTICS] Estados De Portugal no visibles en SGC/API REST y URL web en España (envíos origen ES, destino PT);IDC;eCommerce;Commercial;Backlog;46;;;;
130556;Identificacion Clientes y Metodos de integracion que usan [Objetos con origen en España sin Cp7];IDC;eCommerce;Commercial;Backlog;49;;;;
130552;Mejorar el algoritmo de aproximación de calculo de CP/Poblacion de manifiestos [Objetos con origen en España sin Cp7];IDC;eCommerce;Commercial;In Definition;4;;;;
130547;[web clientes] Modulo aduanas: Andorra;CMO;eCommerce;Commercial;Backlog;91;;;;
130546;[Notificaciones] - Facturación - Modificar contenido del Email Factura a clientes;CMO;eCommerce;Commercial;Backlog;90;;;;
130543;[PUDOS] - Incluir selección origen PT en Web Clientes para servicios RDP origen PT con manifiesto en ES;CMO;eCommerce;Commercial;Ready for Solution;19;;;;
130539;Automatizar la carga del maestro de CP7 de Portugal [Objetos con origen en España sin Cp7];IDC;eCommerce;Commercial;In Solution;2;;;;
130532;[WebHook] - Shein ADT - Migración de infraestructura de Shein ADT;CIO;eCommerce;Technology;In Development;23;;;;
130529;[Web de Clientes] - Desconexión Web-Tracking;CIO;eCommerce;Technology;In Solution;13;;;;
130528;[Web de Cambios] - Localizador de envío - Quitar origen;CMO;eCommerce;Commercial;Discarded;88;;;;
130526;Inclusión de IVA y Aranceles en ECCS - Qlik;PRO;eCommerce;Corporate;Closed;0;;;;
130523;Incluir fichero con versionado sobre histórico de cambios (novedades y fixes) en todos los modulos;IDC;eCommerce;Commercial;In Definition;55;;;;
130519;Maestro festivos provinciales en cálculos de fechas de compromiso;ATC;eCommerce;Corporate;Ready for Solution;22;;;;
130518;[Web de Clientes] - Incluir tooltip en el botón de añadir NUEVO bulto para envíos a Puntos;CMO;eCommerce;Commercial;Backlog;89;;;;
130513;[PUDOs SHEIN] criterio filtro PUDOs de Portugal API REST;IDC;eCommerce;Commercial;Discarded;1;;;;
130509;[Web de Clientes] - Parametrizar el canal de Importación masiva para permitir su medición en los sistemas;CMO;eCommerce;Commercial;Backlog;88;;;;
130506;[Nexus] - We Sell (Lead to Contract) - Signaturit en portugués;CCO;eCommerce;Commercial;In Definition;16;;;;
130504;[User Endpoint API REST GET TRACKING] Añadir organic_point_code cuando estados 2300 / 2310;IDC;eCommerce;Commercial;Backlog;14;;;;
130500;Cuadro de mando reputación CTT;COM;eCommerce;Corporate;Backlog;1;;;;
130498;[Qlik & Salesforce] - Alarmas Comercial 02- Cumplimiento del Comprometido Cierre Tareas;CMO;eCommerce;Commercial;In Definition;35;;;;
130495;Creación de interfaz en nexia para crear incidencias;CIO;eCommerce;Technology;In Definition;12;;;;
130492;[Tech] [Desconexión SGC] Desconexión API WebTracking a Item-history (bitacora);CIO;eCommerce;Technology;Ready for Solution;43;;;;
130491;[Tech] API de common-edge Refactor;CIO;eCommerce;Technology;Backlog;30;;;;
130490;crear indice atlas search;CIO;eCommerce;Technology;Backlog;47;;;;
130489;crear plantilla de colecciones de mongodb;CIO;eCommerce;Technology;Backlog;46;;;;
130488;[CELERITAS] - Inhibir notificaciones a dtt en envíos Celeritas Cliente;CMO;eCommerce;Commercial;Backlog;94;;;;
130487;[PUDOS] [MONGO] - Información completa de incidencias en colección Pickups;CMO;eCommerce;Commercial;Backlog;32;;;;
130484;[Nexus] - We Sell (Lead to Contract) - Modelos tarifarios en función de Zona Comercial;CCO;eCommerce;Commercial;Discarded;50;;;;
